10,0.010839,-1,0.40791,0.31399,0.80763
10,0.010839,-1,1.3836,0.090171,0.27671
10,0.010839,1,0.40793,0.68765,0.007893
10,0.010839,1,1.5503,0.31847,0
10,0.010839,1,0.41631,0.89216,0.054811
10,0.010839,-1,1.5913,0.052906,0.43836
10,0.010839,1,0.43278,0.86542,0
10,0.010839,-1,6.0671,0.000998,0.40641
10,0.010839,1,0.35001,0.77985,0.10245
10,0.010839,1,1.3336,0.20986,0.091739
10,0.010839,1,0.4079,0.71191,0.28448
10,0.010839,1,1.3002,0.15258,0.10233
12,0.48825,-1,0.53341,0.092325,0.001784
12,0.48825,1,9.6177,0.7745,0.21844
12,0.48825,-1,6.7755,0.39857,0.58625
12,0.48825,-1,0.51626,0.51834,0.20053
12,0.48825,-1,0.59962,0.48879,0.38819
12,0.48825,1,14.727,1,0
12,0.48825,1,6.7421,0.78353,0.21647
12,0.48825,1,0.58319,0.93605,0.77819
12,0.48825,-1,0.5672,0.51085,0.12461
12,0.48825,1,11.369,0.90579,0.089192
12,0.48825,1,4.8502,0.80486,0.18933
12,0.48825,1,0.55792,0.98818,0.57011
1,0.50501,1,0.63336,0,0.11152
1,0.50501,-1,0.65798,0.51342,0.27506
1,0.50501,1,2.7331,0.089604,0.91285
1,0.50501,-1,4.0334,0.22325,0.81694
1,0.50501,1,0.69107,0.97634,0.71001
1,0.50501,-1,0.71673,0.49624,0.24226
1,0.50501,-1,1.7163,0.9748,0.016341
1,0.50501,1,3.1671,0.38925,0.6015
1,0.50501,1,0.61671,0.77338,0.46441
1,0.50501,1,0.61674,0.08953,0.23493
1,0.50501,-1,3.8844,0.21535,0.81027
1,0.50501,1,2.9498,0.7139,0.31926
14,0.54103,-1,1.7503,0.31959,0.80022
14,0.54103,-1,2.1414,0.58239,0.42916
14,0.54103,1,0.70007,1,0.72433
14,0.54103,-1,0.6745,0.50719,0.090877
14,0.54103,-1,2.008,0.097893,0.97706
14,0.54103,1,3.4416,0.87978,0.21998
14,0.54103,-1,0.60796,0.40689,0
14,0.54103,-1,0.53292,0.69722,0.099138
14,0.54103,1,2.2671,0.68955,0.41513
14,0.54103,1,2.0914,0.12356,0.91075
14,0.54103,1,0.65011,0,0.18735
