nDictator,ch,RT,splitL,splitR
2,-1,0.999673,0.42288,0.190337
2,-1,1.03304,1,0.303318
2,1,0.957975,0.424055,0.740604
2,-1,0.883028,0.890297,0.088167
2,1,1.541264,0.093708,0.30995
2,-1,1.408112,0.474066,0.10571
2,-1,1.607987,0.494523,0.580718
2,-1,1.283102,0.77602,0.379173
2,-1,1.125182,0.8941,0.486308
2,-1,1.174738,0.377483,0.211881
2,1,1.349744,0,0.907666
2,-1,1.458392,0.517249,0.987845
2,1,1.374767,0.909272,0.401715
2,1,2.350369,0.913728,0.292159
2,-1,1.583569,0.704007,0.203737
2,1,1.016843,0.014219,0.703374
2,1,1.458089,0.804899,0.468352
2,-1,1.241908,0.615274,1
2,1,1.216165,1,0.872691
2,1,2.291387,0.130502,0.689433
2,-1,0.900143,0.324998,0.006285
2,1,1.566273,0.117168,0.610843
2,1,1.249543,0.006742,0.892287
2,1,0.98304,0.032692,0.569426
2,1,1.366875,0.903377,0.412874
2,1,0.891315,0,0.663537
2,-1,0.88302,0.806324,0.921284
2,-1,0.682972,0.507647,0.001267
2,-1,0.507922,0.416648,0.770183
2,-1,1.94139,0.520953,0.576734
2,-1,2.03303,0.489949,0.387147
2,-1,0.991323,0.472351,0.712936
2,-1,0.72464,0.386637,0.995919
2,-1,0.866839,0.504812,0.004104
2,-1,5.784413,1,0.109535
2,1,1.691456,0.991656,0.834521
2,1,2.316385,0.898555,0.604678
2,-1,1.507964,0.675222,0.809396
2,1,0.866349,0.917529,0.475674
2,1,0.657986,1,0.69428
2,1,1.291427,0.251307,0.604855
2,1,1.167312,0.301509,0.384775
2,-1,4.441811,0.986203,0.011028
2,1,0.641719,1,0.495556
2,-1,1.124689,0.604396,0.302234
2,1,1.334043,0.295929,0.399939
2,1,1.016324,0.785992,0.37586
2,1,0.800119,0.074206,0.38852
2,-1,0.757966,0.720403,0.780995
2,1,0.791351,0.719124,0.47418
2,-1,0.607971,0.690177,0.911151
2,1,0.583426,0.005622,0.803229
2,-1,0.657925,0.714167,0.997357
2,-1,1.017292,0.783333,0
2,1,0.6246,0,0.194517
2,1,0.607929,0.991789,0.402604
2,-1,0.566701,0.105295,0.018481
2,1,0.624622,1,0.198808
2,1,0.632943,0.085543,0.337969
2,1,0.416703,0.000569,0.179513
2,1,0.782807,0.889649,0.294164
2,1,0.624616,0.184338,0.596508
2,1,0.433413,0.171824,0.471242
2,1,0.3996,0,0.571018
2,-1,0.73346,0.374755,0.312933
2,1,0.624643,0.874076,0.55373
2,-1,0.69127,0.687202,0.890523
2,1,0.55796,0.985401,0.905511
2,-1,0.550119,0.383159,0.092177
2,-1,1.083527,0.888271,0.073521
2,1,0.716324,0.910104,0.800317
2,-1,0.633439,0.486043,0.888848
2,-1,1.09949,0.576405,0.686512
2,1,1.083525,0.095043,0.199192
2,1,0.52459,0.291069,0.520828
2,-1,0.650108,0.525766,0.208785
2,1,1.133067,0.294904,0.597465
2,1,2.174714,0.107708,0.796277
2,-1,1.633624,0.711778,0.919577
2,-1,2.108527,0.994302,0.045133
2,1,0.933048,0,0.702611
2,-1,0.841313,0.250752,0.909599
2,-1,0.899701,0.646049,0.701398
2,-1,0.724652,0.393031,0.094503
2,-1,0.56629,0.570303,0.152146
2,1,0.716317,0.695164,0.573479
2,1,1.074726,0.200347,0.756956
2,-1,0.908042,0.203079,1
2,1,1.933001,0.592168,0.511401
2,-1,0.541238,0.220042,0.916621
2,1,0.916356,0.181916,0.615764
2,1,0.724672,1,0.671235
2,-1,1.216409,0.702974,0.300618
2,-1,0.516278,0.385911,0.010573
2,-1,0.582959,0.80869,0.993814
2,-1,0.783009,0.717617,0.169017
2,-1,0.641316,0.491742,0.134832
2,1,1.791306,0.198374,0.886838
2,1,2.616418,0.028211,1
2,-1,0.908034,0.579349,0
2,1,1.874823,0.80085,0.701432
2,-1,0.524905,0.603641,0.817953
2,1,2.216396,0.09716,0.795321
2,-1,0.450081,0.213373,0.136556
2,-1,0.991369,0.900089,0.095111
2,-1,0.833936,0.268739,0.828179
2,1,0.916773,0,0.377419
2,1,2.133733,0.403245,0.701348
2,-1,0.791347,0.618619,0.993608
2,-1,0.466723,0.173366,0
2,1,1.524555,0.082965,1
2,-1,0.841303,0.493896,0.792693
2,1,0.758001,0.896094,0.631517
2,1,2.058057,0.38374,0.695482
2,1,1.650052,1,0.254446
2,1,3.358264,0.891614,0.406426
2,-1,0.557971,0.591619,0.833828
2,1,1.049654,0.989683,0.518795
2,-1,0.674632,0.84111,1
2,-1,1.299753,0.27222,0.188971
2,1,0.899636,0.788907,0.620827
2,1,1.791541,0.109144,0.807849
2,1,0.450122,0.018567,0.474896
2,-1,1.074735,0.680128,0.09522
2,1,1.308122,0.22438,0.79722
2,1,0.817223,0.173747,0.400984
2,-1,0.62464,0.32968,0.82593
2,-1,1.124717,0.675327,0.307431
2,-1,0.766287,0.682894,0.202076
2,1,0.757991,0.40565,0.594272
2,1,0.45012,0,0.899941
2,-1,0.432914,0.692583,0.110989
2,1,0.850179,0.38995,0.491523
2,-1,0.73343,0.104244,0
2,1,1.316263,0.804167,0.496806
2,-1,1.750265,0.643104,0.387501
2,-1,0.457917,0.41424,1
2,1,1.507948,0.316147,0.710819
2,1,0.850113,0.029376,0.087462
2,1,0.866811,0.204551,0.296352
2,1,0.507973,0.208158,0.331463
2,-1,1.07468,0.256403,1
2,1,1.441278,0,0.832299
2,-1,1.366875,0.201017,0.124805
2,-1,1.76631,0.786433,0.307261
2,-1,2.616477,1,0.221443
