nObserver,cond,nDictator,chDictator,RTDictator,splitL,splitR,chObserver,RTObserver,lastEstim,duration,selfChObserver,selfRTObserver,similarity
1,2,12,1,0.624599,1,0.860423,1,1.021795,0.450195,0,1,0.798271,0.915151515151515
1,2,12,-1,3.774998,0.082238,0.929563,-1,1.276371,0.450195,1,1,1.617156,0.915151515151515
1,2,12,-1,3.925044,0.403519,0.605737,-1,1.392476,0.450195,1,1,1.038928,0.915151515151515
1,2,12,1,0.599629,0.999124,0.706646,1,0.757638,0.450195,0,-1,1.391429,0.915151515151515
2,1,16,1,0.324536,0.684374,0.914881,1,1.593263,1,0,1,1.061678,0.593939393939394
2,1,16,1,0.324552,0,0.768783,1,0.564026,1,0,1,1.361824,0.593939393939394
2,1,16,1,1.716305,0.692258,0.892014,1,1.115204,1,1,1,1.061678,0.593939393939394
2,1,16,1,1.424572,0.614249,0.976462,1,0.581097,1,1,-1,1.309289,0.593939393939394
2,1,1,1,0.749576,0.285316,0.513349,1,1.762104,0.508789,0,-1,0.710265,0.963636363636364
2,1,1,1,4.666785,0.402851,0.587478,1,4.85535,0.508789,1,-1,0.79765,0.963636363636364
2,1,1,-1,0.716748,0.293405,0.015848,-1,1.66837,0.508789,0,-1,0.925985,0.963636363636364
2,1,1,-1,2.34139,0.881676,0.093733,1,1.954378,0.508789,1,-1,1.500747,0.963636363636364
2,1,8,1,2.983227,0.427113,0.693287,-1,5.400912,0.558594,1,-1,0.759864,0.872727272727273
2,1,8,-1,0.858004,0.600316,0,-1,1.018456,0.558594,0,1,0.983647,0.872727272727273
2,1,8,1,0.833484,0,0.184209,1,1.068392,0.558594,0,1,0.76132,0.872727272727273
2,1,8,-1,4.267403,0.614735,0.689625,-1,1.418136,0.558594,1,1,0.972839,0.872727272727273
2,1,9,-1,0.700057,0.210235,0.037963,-1,1.134611,0.552734,0,1,0.76132,0.787878787878788
2,1,9,1,2.958114,0.883084,0.553887,1,1.209247,0.552734,1,-1,1.649396,0.787878787878788
2,1,9,1,0.700111,0.10596,0.586946,1,1.226904,0.552734,0,1,1.223585,0.787878787878788
2,1,9,-1,4.241698,0.809005,0.393009,1,1.592894,0.552734,1,1,1.624803,0.787878787878788
2,4,11,1,0.624629,0.005939,0.501304,1,2.218751,0.514648,0,-1,0.588287,0.854545454545454
2,4,11,1,4.384084,0.288038,0.860615,-1,1.755893,0.514648,1,-1,1.472729,0.854545454545454
2,4,11,1,2.966579,0.381785,0.771742,-1,2.257562,0.514648,1,1,1.624803,0.854545454545454
2,4,11,1,0.666854,0,0.420608,1,0.722702,0.514648,0,-1,0.705084,0.854545454545454
2,4,13,-1,1.066324,0.897506,0.689459,1,1.003019,0.561523,1,1,1.061678,0.624242424242424
2,4,13,-1,1.141368,0.882208,0.695151,1,0.888818,0.561523,1,1,1.061678,0.624242424242424
2,4,13,-1,0.391199,1,0.334265,-1,2.455141,0.561523,0,-1,1.594181,0.624242424242424
2,4,13,1,0.382928,0,0.792983,1,0.67194,0.561523,0,1,1.361824,0.624242424242424
2,4,10,-1,1.92471,0.233369,0.288051,1,0.941903,0.532227,1,-1,1.656352,0.56969696969697
2,4,10,-1,1.650306,0.008676,0.592791,1,0.779214,0.532227,1,1,0.983647,0.56969696969697
2,4,10,-1,0.432934,0.08856,0.697955,1,0.828529,0.532227,0,-1,1.110209,0.56969696969697
2,4,10,1,0.432911,0.93133,0.117453,1,2.08206,0.532227,0,-1,1.500747,0.56969696969697
2,4,7,-1,0.532966,0.689473,0.104801,-1,0.782886,0.77832,0,-1,1.110209,0.593939393939394
2,4,7,1,0.532977,0.20277,0.868216,1,0.870254,0.77832,0,-1,2.374882,0.593939393939394
2,4,7,-1,2.683174,0.81274,0.679545,-1,2.219604,0.77832,1,-1,1.299532,0.593939393939394
2,4,7,1,3.466676,0.508134,0.992668,1,2.17222,0.77832,1,-1,0.914236,0.593939393939394
2,2,12,-1,3.925044,0.403519,0.605737,-1,1.454341,0.458984,1,-1,0.79765,0.933333333333333
2,2,12,1,0.599629,0.999124,0.706646,1,0.79163,0.458984,0,-1,1.17688,0.933333333333333
2,2,12,-1,3.774998,0.082238,0.929563,-1,1.043175,0.458984,1,-1,1.500747,0.933333333333333
2,2,12,1,0.624599,1,0.860423,1,0.607399,0.458984,0,1,1.60863,0.933333333333333
2,2,4,-1,1.733181,0.991625,0.486475,-1,0.8159,0.962891,1,-1,0.914236,0.545454545454545
2,2,4,-1,3.192053,0.879833,0.585109,-1,0.771897,0.962891,1,-1,1.649396,0.545454545454545
2,2,4,1,0.666286,0.802544,0.998746,1,0.570545,0.962891,0,1,1.058676,0.545454545454545
2,2,4,-1,0.650065,0.537315,0.016012,-1,0.653321,0.962891,0,-1,0.588287,0.545454545454545
2,2,15,-1,0.441267,0.597934,0.094457,-1,1.249728,0.760742,0,1,1.223585,0.721212121212121
2,2,15,-1,0.450077,0.569434,0,-1,0.655856,0.760742,0,1,0.983647,0.721212121212121
2,2,15,-1,1.916331,1,0.317288,-1,2.091322,0.760742,1,-1,1.594181,0.721212121212121
2,2,15,-1,1.458097,0.69461,0.95746,1,5.508681,0.760742,1,-1,1.17688,0.721212121212121
2,2,3,-1,0.474599,0.791126,0.300575,-1,0.955075,0.713867,0,1,4.336095,0.824242424242424
2,2,3,1,0.466706,0,0.367382,1,0.741844,0.713867,0,-1,0.705084,0.824242424242424
2,2,3,-1,6.875498,0.897626,0.271551,-1,1.143591,0.713867,1,-1,1.472729,0.824242424242424
2,2,3,1,2.149677,0.238491,0.918021,1,1.125235,0.713867,1,-1,2.374882,0.824242424242424
2,3,5,-1,0.416196,1,0.324547,1,5.145503,0.617188,0,-1,1.594181,0.672727272727273
2,3,5,1,1.916812,0.297437,1,1,1.978305,0.617188,1,-1,1.594181,0.672727272727273
2,3,5,-1,1.799626,0.807223,0.475038,1,1.344612,0.617188,1,-1,1.029647,0.672727272727273
2,3,5,-1,0.407941,0.513428,0,-1,0.677335,0.617188,0,-1,0.588287,0.672727272727273
2,3,2,1,2.058057,0.38374,0.695482,1,4.18515,0.605469,1,-1,0.759864,0.921212121212121
2,3,2,-1,0.457917,0.41424,1,-1,1.638613,0.605469,0,1,0.82686,0.921212121212121
2,3,2,-1,0.466723,0.173366,0,-1,0.871529,0.605469,0,1,0.76132,0.921212121212121
2,3,2,1,1.524555,0.082965,1,1,2.338975,0.605469,1,1,3.019785,0.921212121212121
2,3,14,-1,0.71676,0.431464,0.094208,-1,2.997622,0.541016,0,-1,0.82519,0.981818181818182
2,3,14,1,2.083073,0.288362,0.722026,1,2.062958,0.541016,1,1,3.532009,0.981818181818182
2,3,14,-1,2.983229,0.329952,0.80315,-1,5.289066,0.541016,1,1,4.336095,0.981818181818182
2,3,14,1,0.71632,0,0.526892,1,0.632914,0.541016,0,-1,0.588287,0.981818181818182
2,3,6,-1,1.016852,0.305985,0.071196,-1,3.30702,0.790039,0,-1,0.776695,0.545454545454545
2,3,6,1,2.616435,0.612767,0.876776,1,3.208143,0.790039,1,-1,1.649396,0.545454545454545
2,3,6,-1,1.000143,0.107352,0.003723,-1,1.008823,0.790039,0,-1,0.885884,0.545454545454545
2,3,6,-1,4.366728,0.994777,0.595016,1,2.809044,0.790039,1,-1,1.309289,0.545454545454545
3,1,1,-1,2.34139,0.881676,0.093733,-1,11.51198,0.444336,1,-1,1.114045,0.981818181818182
3,1,1,1,4.666785,0.402851,0.587478,-1,4.645084,0.444336,1,-1,1.583748,0.981818181818182
3,1,1,-1,0.716748,0.293405,0.015848,-1,6.779898,0.444336,0,1,0.956165,0.981818181818182
3,1,1,1,0.749576,0.285316,0.513349,1,1.71025,0.444336,0,-1,1.783966,0.981818181818182
3,1,2,1,2.058057,0.38374,0.695482,1,4.595182,0.643555,1,-1,1.240369,0.903030303030303
3,1,2,1,1.524555,0.082965,1,1,3.13419,0.643555,1,-1,0.745334,0.903030303030303
3,1,2,-1,0.457917,0.41424,1,-1,1.347022,0.643555,0,1,1.7538,0.903030303030303
3,1,2,-1,0.466723,0.173366,0,-1,1.099895,0.643555,0,1,0.968999,0.903030303030303
3,1,15,-1,0.441267,0.597934,0.094457,-1,2.367519,0.587891,0,-1,2.394858,0.703030303030303
3,1,15,-1,1.916331,1,0.317288,1,2.189242,0.587891,1,-1,0.944056,0.703030303030303
3,1,15,-1,1.458097,0.69461,0.95746,-1,3.106527,0.587891,1,-1,1.144807,0.703030303030303
3,1,15,-1,0.450077,0.569434,0,-1,1.00403,0.587891,0,1,5.652761,0.703030303030303
3,1,16,1,0.324552,0,0.768783,1,0.951636,0.807617,0,1,2.852588,0.575757575757576
3,1,16,1,1.424572,0.614249,0.976462,1,1.656106,0.807617,1,-1,1.113631,0.575757575757576
3,1,16,1,1.716305,0.692258,0.892014,1,1.18697,0.807617,1,1,2.213898,0.575757575757576
3,1,16,1,0.324536,0.684374,0.914881,1,0.821856,0.807617,0,1,2.213898,0.575757575757576
3,4,7,1,3.466676,0.508134,0.992668,-1,4.518197,0.634766,1,-1,0.870112,0.575757575757576
