nObserver,ch,RT,splitL,splitR
4,-1,1.335073,0.476334,0.403661
4,1,1.899429,1,0.587782
4,1,2.546936,0,0.391326
4,1,2.028282,0.393075,0.602427
4,-1,2.142288,0.695106,0
4,1,1.921055,0.208415,0.328453
4,-1,1.338575,0.405697,0.168289
4,-1,3.191239,0.685855,0.793412
4,-1,1.205497,0.678449,0.915214
4,-1,0.874935,0.630955,0.301081
4,1,1.180725,0.065989,0.209254
4,1,2.05215,0.597484,0.517077
4,-1,1.486165,0.700981,0.404238
4,1,1.886635,0.73763,0.592934
4,-1,1.258428,0.278517,1
4,-1,2.006651,0.805202,0
4,1,1.03667,0.023609,0.508341
4,1,1.711945,0.75408,0.37929
4,-1,2.025954,0.927817,1
4,1,2.207644,0.987528,0.376278
4,1,2.607768,0.990517,0.811086
4,-1,1.293966,0.577539,0.193867
4,1,1.355151,0.270514,0.528193
4,-1,1.690975,0.815492,0.899381
4,-1,1.928996,0.178621,0
4,-1,2.616674,0.450386,0.883843
4,-1,1.752688,0.998245,0
4,1,2.542736,0.097968,0.713534
4,-1,1.58902,0.498447,1
4,-1,1.787089,0.748025,0.979878
4,-1,2.648118,0.76296,0.259001
4,-1,2.109756,0.774032,0.089023
4,-1,0.844093,0.475556,0.210107
4,-1,1.566013,0.309523,0
4,-1,0.816895,0.310575,0.100314
4,-1,1.042536,0.109904,0
4,-1,1.095059,0.370164,0.909858
4,1,3.730165,0.207269,0.797546
4,-1,1.616979,0.384911,0.090846
4,-1,1.55706,0.914448,0.000204
4,1,3.026117,0.085957,0.991269
4,1,1.31671,0,0.637848
4,1,2.219178,0.227274,0.725439
4,1,2.238435,0.326026,0.902666
4,-1,1.651785,0.629951,0.08309
4,1,1.461798,0.203122,0.894055
4,-1,1.708678,0.998974,0.201198
4,1,1.719407,0.696375,0.464376
4,-1,1.381621,0.591269,0.808403
4,1,1.322696,0.923306,0.598457
4,1,1.247256,0.772605,0.512343
4,1,1.959954,0.28138,0.683036
4,-1,1.160029,0.521728,0.069039
5,1,2.789946,0.014771,0.605084
5,-1,1.538609,1,0.594415
5,-1,1.875194,0.428262,0.295248
5,1,1.597366,0,0.198022
5,-1,1.129883,0.178837,0.093065
5,1,1.614472,0.206797,0.807145
5,-1,2.705376,0.518836,0.977439
5,1,2.077672,0.022054,1
5,1,3.452505,0.787154,0.690447
5,-1,1.256829,0.9826,0.192383
5,1,2.098291,0.715764,1
5,-1,2.451073,0.588548,0.281448
5,1,3.172563,0.408055,0.525297
5,1,1.280139,0.090377,0.901491
5,1,1.98316,0.225162,0.615683
5,1,5.264463,0.803711,0.611352
5,1,1.290565,0,0.819112
5,1,1.233931,0,0.286653
5,1,2.542415,0.31368,0.77768
5,-1,2.197727,0.713741,0.115814
5,-1,0.936537,0.705,0.409735
5,-1,2.795113,0.494721,0.583723
5,-1,1.907985,0.991281,0.386698
5,-1,0.820037,0.987732,0.277211
